Date,GC1_Gold,DXY_USD,SPX,FTSE100,EWJ,EWW,XLE,XLU,XLV,XLY,AAPL,ABMD,AMZN,DIA,HFC,MDY,MNST,MO,ODFI,ORLY,REGN,ROST,SPY,STZ,TSCO,URI,XLF,XLI,XLK,XLP
1994/4/8,384.2,94.93,447.1,3120.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/4/15,377.7,94.9,446.18,3168.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/4/22,370.6,93.91,447.63,3133.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/4/29,377.8,92.12,450.91,3125.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/5/6,384.5,92.71,447.82,3106,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/5/13,381.5,93.3,444.14,3119.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/5/20,386.3,92.24,454.92,3127.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/5/27,384.7,92.32,457.33,2966.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/6/3,380.7,93.42,460.13,2997.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/6/10,383.6,92.97,458.67,3055.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/6/17,391.6,90.97,458.45,3022.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/6/24,391.1,89.6,442.8,2876.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/7/1,388.1,89.92,446.2,2936.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/7/8,385.1,88.87,449.55,2962.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/7/15,386.4,88.33,454.16,3074.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/7/22,385,90.18,453.11,3114.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/7/29,383,89.87,458.26,3082.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/8/5,377.3,89.63,457.09,3167.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/8/12,376.2,88.94,461.94,3142.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/8/19,381.9,88.03,463.68,3191.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/8/26,383.3,89.59,473.8,3265.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/9/2,388.4,88.56,470.99,3222.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/9/9,392.8,87.92,468.18,3139.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/9/16,390.5,87.57,471.19,3065.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/9/23,396.4,87.58,459.67,3028.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/9/30,394.2,87.88,462.69,3026.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/10/7,390.9,87.9,455.1,2998.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/10/14,387.6,86.74,469.1,3106.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/10/21,390.8,85.63,464.89,3032.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/10/28,388.7,85.99,473.77,3083.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/11/4,384.7,86.5,462.28,3097.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/11/11,385.7,87.09,462.35,3075.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/11/18,384.5,88.36,461.47,3131,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/11/25,384.7,88.75,452.29,3033.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/12/2,375.5,89.56,453.3,3017.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/12/9,377,89.6,446.96,2977.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/12/16,378.6,89.59,458.8,3013.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/12/23,380.4,89.96,459.83,3083.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1994/12/30,384.4,88.72,459.27,3065.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/1/6,372.2,89.61,460.68,3065,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/1/13,379.3,88.14,465.97,3048.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/1/20,385.4,87.45,464.78,2995,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/1/27,376.8,87.62,470.39,3022.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/2/3,376.8,88.19,478.64,3059.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/2/10,376.4,87.79,481.46,3109.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/2/17,378.6,86.43,481.97,3044.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/2/24,376.8,85.83,488.11,3037.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/3/3,377.8,84.37,485.42,3025.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1995/3/10,383.1,84.23,489.57,3021.1,,,,,,,,,,,,,,,,,,,,,,,,,,
